Developer,Repository Name,Number of Stars,Forks,Stars Today,Language,Topics,AI / Data / ML,Systems / Embedded / Robotics,Web / Mobile / Application Development,DevOps / Infrastructure / Cloud,Security / Networking,Data Platforms / Backend Services / Integrations,CLI / Utilities / Developer Tools,Libraries / SDKs / Framework Components,Research / Experiments / Demos,Education / Tutorials / Docs,top_genre
@giga-a,qeeqbox/social-analyzer,17700,1478,2038,JavaScript,"['nodejs', 'javascript', 'python', 'cli', 'profile', 'social-media', 'osint', 'analysis', 'analyzer', 'pentesting', 'username', 'pentest', 'nodejs-cli', 'information-gathering', 'security-tools', 'reconnaissance', 'social-analyzer', 'person-profile', 'sosint']",0.125,0,0.05,0.125,1,0.075,0.8,0.125,0.1,0.1,Security / Networking
@mudler,mudler/LocalAI,37499,2955,1028,Go,"['api', 'ai', 'mcp', 'decentralized', 'text-generation', 'distributed', 'tts', 'image-generation', 'llama', 'object-detection', 'mamba', 'libp2p', 'gemma', 'mistral', 'audio-generation', 'llm', 'stable-diffusion', 'rwkv', 'musicgen', 'rerank']",0.415929204,0.17699115,0.008849558,0.159292035,0.002949853,1,0.085545723,0.029498525,0.008849558,0.056047198,Data Platforms / Backend Services / Integrations
@jordanhunt22,get-convex/chef,3358,602,875,TypeScript,['No topics'],1,0,0.105263158,0.01754386,0.175438596,0.087719298,0.614035088,0.157894737,0.01754386,0.087719298,AI / Data / ML
@jlooper,microsoft/Web-Dev-For-Beginners,94032,14624,1503,JavaScript,"['javascript', 'css', 'html', 'learning', 'education', 'curriculum', 'tutorials', 'microsoft-for-beginners']",0.482014388,0.002398082,0.330935252,0,0.12470024,0.24940048,0.700239808,0.3117506,0.004796163,1,Education / Tutorials / Docs
@GeeeekExplorer,GeeeekExplorer/nano-vllm,8370,1022,1079,Python,"['nlp', 'deep-learning', 'inference', 'pytorch', 'transformer', 'llm']",1,0,0,0,0,0,0.294117647,0,0.117647059,0.117647059,AI / Data / ML
@chenos,nocobase/nocobase,18117,2055,748,TypeScript,"['internal-tools', 'crud', 'crm', 'admin-dashboard', 'self-hosted', 'web-application', 'project-management', 'salesforce', 'developer-tools', 'airtable', 'workflows', 'low-code', 'no-code', 'app-builder', 'internal-tool', 'nocode', 'low-code-development-platform', 'no-code-platform', 'low-code-platform', 'low-code-framework']",0.173652695,0,0.047904192,0.101796407,0.015968064,0.644710579,1,0.271457086,0.081836327,0.073852295,CLI / Utilities / Developer Tools
@kommander,sst/opentui,4584,168,1226,TypeScript,['No topics'],0.019607843,0,1,0.019607843,0,0.009803922,0.225490196,0.078431373,0.088235294,0.039215686,Web / Mobile / Application Development
@hacksider,hacksider/Deep-Live-Cam,75350,10965,1021,Python,"['ai', 'realtime', 'artificial-intelligence', 'faceswap', 'gan', 'webcam', 'webcamera', 'deepfake', 'deep-fake', 'ai-face', 'video-deepfake', 'realtime-deepfake', 'deepfake-webcam', 'realtime-face-changer', 'fake-webcam', 'ai-webcam', 'ai-deep-fake', 'real-time-deepfake']",0.72,0.08,0,0,0,0,1,0.2,0.04,0.12,CLI / Utilities / Developer Tools
@wintonzheng,Skyvern-AI/skyvern,16659,1413,1244,Python,"['python', 'api', 'workflow', 'automation', 'browser', 'ai', 'selenium', 'computer', 'vision', 'gpt', 'browser-automation', 'rpa', 'puppeteer', 'powerautomate', 'playwright', 'llm']",0.218556701,0,1,0.179381443,0.008247423,0.022680412,0.268041237,0.305154639,0.078350515,0.051546392,Web / Mobile / Application Development
@meowgorithm,charmbracelet/glow,20871,501,1152,Go,"['markdown', 'cli', 'hacktoberfest', 'excitement']",0,0,0,0.021276596,0,0,1,0.021276596,0,0.021276596,CLI / Utilities / Developer Tools
@angiejones,block/goose,21901,1966,908,Rust,"['mcp', 'hacktoberfest']",0.207434053,0,0.010791367,0.022781775,0.028776978,0.008393285,0.098321343,0.073141487,0.111510791,1,Education / Tutorials / Docs
@AntoLC,suitenumerique/docs,14639,449,611,Python,"['government', 'documentation', 'django', 'opensource', 'mit', 'knowledge', 'wiki', 'reactjs', 'self-hosted', 'mit-license', 'collaborative', 'knowledge-base', 'yjs', 'realtime-collaboration', 'g2g', 'blocknotejs']",0.007155635,0.001788909,1,0.125223614,0.008944544,0.31842576,0.098389982,0.01431127,0.008944544,0.01431127,Web / Mobile / Application Development
